rodada,atleta_id,clube_id,pontuacao,pontuacao_media,preco,preco_variacao,posicao,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,participou
31,81241,267,0.0,1.06,4.8,0.0,zag,1.0,4.0,,,,,,1.0,,,3.0,,1.0,,2.0,,,,False
31,81150,275,0.0,4.26,6.53,0.0,lat,7.0,21.0,1.0,,,,,2.0,,22.0,18.0,,3.0,,9.0,,,,False
31,81537,315,0.0,3.08,3.74,0.0,lat,,4.0,1.0,,,,,,,4.0,1.0,,1.0,,1.0,,,,False
31,81682,282,7.1,4.16,11.28,1.22,mei,9.0,112.0,5.0,1.0,13.0,29.0,5.0,,,23.0,21.0,,1.0,,,,,,True
31,81845,284,0.0,3.0,6.56,0.0,mei,32.0,34.0,2.0,,6.0,8.0,1.0,2.0,,11.0,12.0,,1.0,,,,,,False
31,81770,265,8.0,0.68,5.54,1.71,ata,2.0,5.0,,,1.0,,1.0,,,1.0,1.0,,2.0,,,,,,True
31,80374,327,0.0,3.92,9.6,0.0,lat,12.0,21.0,1.0,,2.0,1.0,,1.0,,28.0,17.0,,3.0,,4.0,,,,False
31,81677,277,10.8,4.68,12.05,1.13,mei,28.0,49.0,3.0,1.0,3.0,7.0,3.0,2.0,,10.0,18.0,,2.0,,,,,,True
31,81898,315,0.1,1.32,3.2,0.33,ata,10.0,15.0,,,2.0,3.0,1.0,,,5.0,7.0,,2.0,,,,,,True
31,81776,293,0.0,1.56,3.37,0.0,mei,7.0,6.0,1.0,,,1.0,,,,6.0,4.0,,1.0,,,,,,False
31,83257,277,10.6,6.43,16.22,0.27,ata,49.0,79.0,2.0,,16.0,31.0,16.0,20.0,,23.0,37.0,,4.0,,,,,,True
31,81798,285,-0.1,1.45,3.73,0.01,ata,22.0,20.0,2.0,1.0,3.0,2.0,1.0,,1.0,10.0,15.0,,3.0,,,,,,True
31,81881,327,0.7,4.14,6.8,-0.91,gol,1.0,23.0,,,,,,,,,,,,,7.0,33.0,1.0,24.0,True
31,81905,262,0.0,1.64,10.52,0.0,ata,30.0,11.0,,,2.0,9.0,5.0,8.0,,4.0,30.0,,6.0,1.0,,,,,False
31,83433,285,3.5,6.22,17.23,-0.7,mei,38.0,63.0,3.0,,11.0,15.0,5.0,,,87.0,49.0,,6.0,,,,,,True
31,81684,267,0.0,2.89,6.92,0.0,ata,43.0,43.0,1.0,1.0,8.0,10.0,6.0,3.0,1.0,16.0,47.0,,4.0,,,,,,False
31,82626,285,0.0,0.0,4.0,0.0,zag,,,,,,,,,,,,,,,,,,,False
31,82455,265,0.0,6.52,17.58,0.0,mei,82.0,60.0,2.0,3.0,26.0,34.0,2.0,4.0,,62.0,51.0,,6.0,,,,,,False
31,81951,266,-0.4,3.4,2.7,-1.09,lat,3.0,4.0,,,,,,,,2.0,3.0,,,,1.0,,,,True
31,83528,293,0.0,3.04,3.9,0.0,zag,5.0,41.0,,,1.0,3.0,1.0,,,6.0,7.0,,2.0,,6.0,,,,False
31,82381,327,-0.4,3.3,8.13,-1.46,mei,26.0,72.0,,,4.0,7.0,3.0,1.0,,62.0,40.0,,3.0,,,,,,True
31,87742,292,0.0,2.09,3.91,0.0,mei,13.0,14.0,,,7.0,5.0,,,,22.0,12.0,,3.0,,,,,,False
31,82639,283,0.0,1.94,3.26,0.0,lat,8.0,37.0,,,1.0,4.0,,,,20.0,16.0,,4.0,,2.0,,,,False
31,82634,282,0.0,1.35,3.17,0.0,mei,21.0,38.0,1.0,,4.0,6.0,1.0,1.0,,18.0,18.0,,5.0,1.0,,,,,False
31,83626,267,0.0,-0.12,0.99,0.0,mei,4.0,19.0,,,,2.0,,,,6.0,12.0,,1.0,,,,,,False
